date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,MERRILL LYNCH FAR EAST LTD,CHINA RENAISSANCE BROKING SERVICES (HONG,DBS BANK (HONG KONG) LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD
2024-12-13,67.3568191164089,7.711962269657204,6.080614755479155,5.541164205017646,4.917204073439993,0.10447431735000215,0.0,3.139594118178899,2.8518403799164416,2.2963267645517678
2024-12-16,67.4529204106449,7.657808994783596,6.101331475783527,5.550675551475863,4.903615846970788,0.04695937127750252,0.0,3.144073531875844,2.8387304518254663,2.303884365362527
2024-12-17,67.42234086308402,7.620236065803909,6.092012661832242,5.521279333322658,4.998748643213399,0.04399601051842054,0.0,3.1426481770429096,2.8296871518701496,2.3290510933122954
2024-12-18,67.39764490474498,7.6094239754497774,6.12413739402184,5.519256957910466,5.01509835595133,0.041974671981086044,0.0,3.141497064407825,2.8216992319884953,2.3292674435442
2024-12-19,67.37305706379533,7.582059491483466,6.1253776539408085,5.518312498632101,5.065118281734227,0.05999978517193113,0.0,3.1403509912731833,2.820268928340655,2.315455305628301
2024-12-20,67.21371715781092,7.609721950526409,6.195813660770696,5.597640110248358,5.117664382000797,0.10398572446475216,0.0,3.1329239387760146,2.7280194004014002,2.300513675000658
2024-12-23,67.21716610874459,7.585565844942535,6.187986575611214,5.5979162397487405,5.162313499044777,0.0973246881908256,0.0,3.1330784847462647,2.7268207394114894,2.291827819559572
2024-12-27,67.10292078531012,7.533675738119043,6.205419504966309,5.589865833001375,5.188543834443361,0.1185878418339228,0.0,3.1277533634185324,2.8421062519964337,2.2911268469109047
2024-12-30,67.02726977757303,7.536748724422634,6.273671402640714,5.582101473704986,5.1838908538952255,0.12789336043970437,0.0,3.1242271727382085,2.8524626559935986,2.2917345785919028
2025-01-02,66.99606933827272,7.532377073068283,6.294835338167708,5.579060432087403,5.1905008219427495,0.13765637958850513,0.0,3.1172101731820874,2.862468737449447,2.2898217062410917
2025-01-03,67.00336981595441,7.5984462258094005,6.357048753518073,5.485184498957705,5.181099770686436,0.12013006945431345,0.0,3.11754985166656,2.852016671165703,2.2851543427873917
2025-01-06,67.03597428355098,7.548962348993513,6.3635989408859315,5.487853641132923,5.188939077578438,0.11513629743657933,0.0,3.119066880636873,2.854202209481489,2.286266320303258
2025-01-07,67.03135020241703,7.5560963096180895,6.362007193475859,5.488823996664198,5.185933315518847,0.11659397913047144,0.0,3.118938331885092,2.8540845768223,2.286172094468109
2025-01-08,67.06158701680461,7.492706554604192,6.293917516908556,5.490207113740473,5.203334614213178,0.09443725527387825,0.0,3.12044426102609,2.949971175348556,2.2933944920804636
2025-01-09,67.05605707161216,7.5096448491472385,6.306166623972863,5.489754387436418,5.18947243010793,0.0857843948626954,0.0,3.1201869470180688,2.949727918669962,2.29320537717266
2025-01-10,67.08085975827743,7.500314936755875,6.28574754373213,5.491864767347828,5.194052917938106,0.08076021269030051,0.0,3.121341041406608,2.95127133477487,2.2937874870768558
2025-01-13,67.09889336709671,7.459211383540786,6.309795828295769,5.590297574980122,5.19278753368146,0.0735952750904451,0.0,3.126172746278219,2.8545759839614018,2.2946703070750907
2025-01-14,67.09166090415015,7.445765553785119,6.348904158066894,5.58982807910784,5.183178934494192,0.07824485335125465,0.0,3.1258357820241542,2.855199796800515,2.2813819382198846
2025-01-15,67.11577517950089,7.432201144374104,6.349854903528474,5.592502788848349,5.16747010406673,0.07161699780687904,0.0,3.1304203876371077,2.8562260208223025,2.283932473415163
2025-01-16,67.09139306509448,7.418057017516533,6.340761468543324,5.591801831907785,5.205248063459254,0.07664768646266018,0.0,3.1292831547313202,2.8562529681367135,2.2905547441479364
2025-01-17,67.11791950957141,7.377857833357105,6.335547282809234,5.593347086852562,5.217290389543818,0.08133732508491376,0.0,3.13052040368479,2.8549860381996734,2.291194130896497
2025-01-20,67.1050555840766,7.3858937615206735,6.356826616130978,5.59320674535948,5.2122974862310665,0.06960908464957423,0.0,3.129920403244859,2.8564353217431875,2.2907549970435803
2025-01-21,67.13239732228858,7.381047120252372,6.317873092277296,5.595885137005695,5.186991796868835,0.10958320850393713,0.0,3.131195679206484,2.8565339467752495,2.28849269682155
2025-01-22,67.15958242790794,7.43505413176159,6.341211707708593,5.596552699953332,5.173107481817059,0.07006526554375983,0.0,3.132463649495783,2.8576906934452,2.2342719423667443
2025-01-23,67.20622392723809,7.373701499079945,6.334818384272898,5.503194639105743,5.177366635827239,0.06798114149095638,0.0,3.134639106756353,2.9617188846673668,2.240355781561411
2025-01-24,67.19484853206953,7.378983962671326,6.347473616289221,5.505728349261636,5.1731583991992665,0.06437117193673968,0.0,3.1341085344898802,2.9613508574642866,2.2399765766181154
2025-01-27,67.16647162396848,7.4111710929980825,6.316683582647112,5.503403237280443,5.202014022894086,0.06767449057883672,0.0,3.132784976035551,2.960766356540965,2.2390306170564553
2025-02-03,67.08785754831122,7.425106612072602,6.341485242180947,5.496264160620906,5.196596384807122,0.1283893226522386,0.0,3.125261862050361,2.968367685647356,2.230671181657253
2025-02-04,67.06242849273204,7.384787071718166,6.3596960747883795,5.494180850586485,5.22973783711161,0.1538760585012093,0.0,3.1240772593443893,2.9685725210685874,2.2226438341491366
