date,ABCI SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,SHANGHAI COMMERCIAL BANK LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,CITIBANK N.A.,PHILLIP SECURITIES (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,TOTAL_CCASS_PCT
2024-09-10,28.30682725969151,9.862342481370716,7.096260820504001,3.9461425771317296,3.132812147039305,4.225731518965079,2.4236548802866493,1.6921723084979474,2.019191494352492,1.830142727279245,64.53527821511868
2024-09-11,28.30682725969151,9.861220530230815,7.085201587839267,3.9501495454885176,3.1393034357773013,4.225731518965079,2.4236548802866493,1.6921723084979474,2.0171880101740984,1.8327873263947252,64.53423640334591
2024-09-12,28.30682725969151,9.861060251496543,7.091292179741584,3.9541565138453056,3.1403452475500666,4.225731518965079,2.4236548802866493,1.6937750958406625,2.0171880101740984,1.8351915074087979,64.5492224650003
2024-09-13,28.30682725969151,9.871798926692735,7.091292179741584,3.9565606948593777,3.1416274774242385,4.225731518965079,2.4236548802866493,1.8289461663885411,2.0171880101740984,1.8351915074087979,64.69881862163261
2024-09-16,28.30682725969151,9.871798926692735,7.091292179741584,3.9565606948593777,3.1416274774242385,4.225731518965079,2.4236548802866493,1.826942682210147,2.0171880101740984,1.8351915074087979,64.69681513745421
2024-09-17,28.30682725969151,9.868192655171626,7.102511691140591,3.9565606948593777,3.1417076167913742,4.225731518965079,2.4252576676293645,1.8268625428430114,2.0171880101740984,1.8351915074087979,64.70603116467483
2024-09-19,28.30682725969151,9.83942262236989,7.084720751636453,3.9461425771317296,3.1328922864064412,4.20569667718114,2.425017249527957,1.8138799653670192,2.0171880101740984,1.830142727279245,64.60193012676548
2024-09-20,28.30682725969151,9.83148882502345,7.073020404034633,3.9461425771317296,3.102920163097669,4.193675772110777,2.421811674842527,1.7927231724431798,2.0171880101740984,1.830142727279245,64.51594058582882
2024-09-23,28.30682725969151,9.82996617704787,7.068452460107895,3.9681809030940625,3.1261605795670375,4.192874378439419,2.421811674842527,1.7927231724431798,2.0171880101740984,1.830142727279245,64.55432734268685
2024-09-24,28.30682725969151,9.856091610734127,7.058114481747382,3.9882157448780013,3.133453261976391,4.202891799331389,2.418445821422825,1.792322475607501,2.0171880101740984,1.830142727279245,64.60369319284247
2024-09-25,28.30682725969151,9.854408684024275,7.06364409807975,3.9882157448780013,3.136738976028957,4.196480649960528,2.4232541834509704,1.7919217787718222,2.0171880101740984,1.832546908293318,64.61122629335323
2024-09-26,28.30682725969151,9.85320659351724,7.080874062013937,3.9471042495373587,3.138101345270265,4.197362182999021,2.4232541834509704,1.7919217787718222,2.0129406237159033,1.8312646784191458,64.58285695738716
2024-09-27,28.30682725969151,9.844551541866577,7.094097057591337,3.9471042495373587,3.1409062231200164,4.197362182999021,2.4272611518077585,1.7935245661145374,2.0129406237159033,1.8297420304435663,64.59431688688758
2024-09-30,28.30682725969151,9.84375014819522,7.092975106451435,3.9511112178941468,3.140184968815795,4.20249110249571,2.4253378069965,1.7935245661145374,2.0109371395375093,1.8297420304435663,64.59688134663593
2024-10-02,28.30682725969151,9.813938303620718,7.056191136936124,3.9511112178941468,3.143550822235497,4.1935154933765055,2.4367175971297774,1.7786987831944225,2.0129406237159033,1.8297420304435663,64.52323326823817
2024-10-03,28.30682725969151,9.702304165200612,7.0520238898450645,3.9507105210584674,3.1737633636456763,4.1690729864001,2.4556304877738158,1.7350228281054358,2.008132261687758,1.8297420304435663,64.38322979385201
2024-10-04,28.30682725969151,9.699419147983726,7.023734693246143,3.94990912738711,3.182819112132017,4.191512009198111,2.4262994794021293,1.764113418375715,2.009735049030473,1.8297420304435663,64.3841113268905
2024-10-07,28.30682725969151,9.692767580511457,7.029023891477102,3.9516721934640966,3.1655090088306936,4.206097374016818,2.433912719280026,1.7649148120470728,2.0078117042192147,1.8289406367722087,64.3874771803102
2024-10-08,28.30682725969151,8.991493102398058,6.902483830769746,3.89894048988877,4.112756328375323,3.7091531584079998,2.491292506149227,1.637092521465543,1.9824876642043159,1.8347106712059833,63.86723753255647
2024-10-09,28.30682725969151,9.168921661236622,7.132002978246549,3.8631181927790874,4.893954879214665,3.54526815261538,2.6381078267419307,1.5931846430480654,1.9982751195300599,1.8334284413318112,64.97308915443568
2024-10-10,28.283028127955507,9.060562345558171,7.267333766188896,3.8663560845548375,4.650713268410812,3.5445294632414104,2.669680201614191,1.600252722572655,2.0011591613551443,1.8257214323807076,64.76933657383233
2024-10-14,28.283028127955507,9.132947424057894,7.291435435025639,3.856747445815936,4.570320990962006,3.570713003804916,2.7448677997460926,1.6045766100051606,1.9843440435620672,1.8283638080339053,64.86734468896913
