date,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,EVERBRIGHT SECURITIES INVESTMENT,ICBC (ASIA) SECURITIES LTD,TOTAL_CCASS_PCT
2024-10-03,23.432731450272833,17.380403290599496,5.025763830620773,2.795438901695204,2.2027190911916477,2.1109533159600584,1.671019952167184,1.510580932411035,1.0226091361668905,57.15221990108512
2024-10-04,23.432731450272833,17.32855268651216,5.025763830620773,2.795438901695204,2.2027190911916477,2.1109533159600584,1.671019952167184,1.510580932411035,1.0226091361668905,57.10036929699779
2024-10-07,23.432731450272833,17.32855268651216,5.025763830620773,2.791118018021259,2.2027190911916477,2.128236850655837,1.671019952167184,1.510580932411035,1.0226091361668905,57.11333194801962
2024-10-08,23.432731450272833,17.31472585875554,5.025763830620773,2.791118018021259,2.2027190911916477,2.128236850655837,1.671019952167184,1.510580932411035,1.0234733129016798,57.10036929699779
2024-10-09,23.437052333946777,17.31472585875554,5.024035477151195,2.7997597853691483,2.2027190911916477,2.128236850655837,1.671019952167184,1.5097167556762463,1.0234733129016798,57.110739417815246
2024-10-10,23.437052333946777,17.31472585875554,5.024035477151195,2.7997597853691483,2.2027190911916477,2.1368786180037262,1.671019952167184,1.5097167556762463,1.0234733129016798,57.11938118516314
2024-10-14,23.44915080823382,17.31472585875554,5.016257886538094,2.7997597853691483,2.2027190911916477,2.1368786180037262,1.671019952167184,1.5097167556762463,1.0234733129016798,57.12370206883709
2024-10-23,23.453471691907765,17.31472585875554,5.016257886538094,2.7997597853691483,2.2027190911916477,2.1368786180037262,1.671019952167184,1.5097167556762463,1.0234733129016798,57.128022952511024
2024-10-24,23.453471691907765,17.31472585875554,5.016257886538094,2.7997597853691483,2.2027190911916477,2.1342860877993597,1.671019952167184,1.5097167556762463,1.0381643173930912,57.140121426798075
2024-10-31,23.453471691907765,17.31472585875554,5.016257886538094,2.7997597853691483,2.2027190911916477,2.1342860877993597,1.671019952167184,1.5097167556762463,1.0502627916801361,57.15221990108512
2024-11-04,23.453471691907765,17.325960156307794,5.016257886538094,2.7997597853691483,2.2027190911916477,2.1342860877993597,1.671019952167184,1.5097167556762463,1.0502627916801361,57.163454198637375
2024-11-11,23.453471691907765,17.325960156307794,5.016257886538094,2.808401552717038,2.2027190911916477,2.1342860877993597,1.671019952167184,1.5097167556762463,1.0502627916801361,57.17209596598527
2024-11-12,23.453471691907765,17.325960156307794,5.016257886538094,2.825685087412816,2.2027190911916477,2.1342860877993597,1.671019952167184,1.5097167556762463,1.0502627916801361,57.18937950068105
2024-11-18,23.453471691907765,17.411513653051898,5.016257886538094,2.825685087412816,2.2027190911916477,2.1342860877993597,1.671019952167184,1.5097167556762463,1.0502627916801361,57.27493299742514
2024-11-19,23.453471691907765,17.412377829786685,5.016257886538094,2.825685087412816,2.2027190911916477,2.1342860877993597,1.671019952167184,1.5097167556762463,1.0502627916801361,57.27579717415993
2024-11-22,23.436188157211987,17.412377829786685,5.016257886538094,2.842104445373806,2.2027190911916477,2.1342860877993597,1.671019952167184,1.5097167556762463,1.0502627916801361,57.27493299742514
2024-11-26,23.436188157211987,17.414106183256266,5.016257886538094,2.842104445373806,2.2027190911916477,2.1342860877993597,1.671019952167184,1.5097167556762463,1.0502627916801361,57.27666135089473
2024-12-03,23.431867273538042,17.414106183256266,5.016257886538094,2.842104445373806,2.2027190911916477,2.1342860877993597,1.671019952167184,1.5097167556762463,1.0502627916801361,57.272340467220786
2024-12-05,23.431867273538042,17.396822648560487,5.016257886538094,2.842104445373806,2.2027190911916477,2.1342860877993597,1.6839826031890177,1.5097167556762463,1.0502627916801361,57.26801958354684
2024-12-06,23.431867273538042,17.396822648560487,5.016257886538094,2.842104445373806,2.2027190911916477,2.1342860877993597,1.6848467799238067,1.5097167556762463,1.0511269684149251,57.26974793701641
2024-12-11,23.431867273538042,17.395958471825697,5.016257886538094,2.842104445373806,2.2027190911916477,2.1342860877993597,1.6848467799238067,1.5097167556762463,1.0606329124976033,57.27838970436431
2024-12-12,23.431867273538042,17.395094295090907,5.016257886538094,2.859387980069584,2.2027190911916477,2.1342860877993597,1.6848467799238067,1.5097167556762463,1.0753239169890147,57.30950006681671
2024-12-13,23.431867273538042,17.40287188570401,5.016257886538094,2.859387980069584,2.2027190911916477,2.1342860877993597,1.6848467799238067,1.5097167556762463,1.0753239169890147,57.31727765742981
2024-12-20,23.431867273538042,17.401143532234432,5.016257886538094,2.859387980069584,2.2027190911916477,2.1325577343297817,1.6848467799238067,1.5097167556762463,1.0753239169890147,57.313820950490644
2024-12-30,23.431867273538042,17.40027935549964,5.016257886538094,2.859387980069584,2.2027190911916477,2.1325577343297817,1.6848467799238067,1.5097167556762463,1.0753239169890147,57.312956773755865
2025-01-03,23.431867273538042,17.40027935549964,5.016257886538094,2.859387980069584,2.2027190911916477,2.1325577343297817,1.6122559342015372,1.5097167556762463,1.1591490602635404,57.324191071308114
2025-01-07,23.431867273538042,17.40027935549964,5.016257886538094,2.859387980069584,2.2027190911916477,2.1325577343297817,1.5984291064449145,1.5097167556762463,1.1591490602635404,57.31036424355149
2025-01-13,23.431867273538042,17.40027935549964,5.016257886538094,2.859387980069584,2.2027190911916477,2.1325577343297817,1.5353442048053234,1.5097167556762463,1.2118638410856646,57.29999412273402
2025-01-14,23.431867273538042,17.40027935549964,5.016257886538094,2.859387980069584,2.2027190911916477,2.1325577343297817,1.5318874978661676,1.5097167556762463,1.2118638410856646,57.296537415794866
2025-01-16,23.431867273538042,17.40027935549964,5.016257886538094,2.859387980069584,2.2027190911916477,2.1325577343297817,1.5318874978661676,1.5097167556762463,1.2481592639467993,57.332832838656
2025-01-17,23.431867273538042,17.40027935549964,5.016257886538094,2.859387980069584,2.2027190911916477,2.1325577343297817,1.5318874978661676,1.5097167556762463,1.249887617416377,57.33456119212559
2025-01-21,23.431867273538042,17.40027935549964,5.016257886538094,2.8991401098698746,2.2027190911916477,2.1325577343297817,1.5318874978661676,1.5097167556762463,1.249887617416377,57.374313321925875
2025-01-22,23.431867273538042,17.397686825295274,5.016257886538094,2.8801282217045183,2.2027190911916477,2.1325577343297817,1.5318874978661676,1.510580932411035,1.249887617416377,57.35357308029094
2025-01-23,23.431867273538042,17.397686825295274,5.016257886538094,2.887905812317619,2.2027190911916477,2.1325577343297817,1.5318874978661676,1.510580932411035,1.249887617416377,57.361350670904045
2025-01-27,23.431867273538042,17.397686825295274,5.016257886538094,2.9224728817091754,2.2027190911916477,2.1325577343297817,1.5318874978661676,1.510580932411035,1.3017382215037125,57.44776834438293
2025-02-03,23.42927474333368,17.397686825295274,5.016257886538094,2.950126537222421,2.2027190911916477,2.1325577343297817,1.5318874978661676,1.510580932411035,1.3017382215037125,57.47282946969181
2025-02-04,23.42927474333368,17.39336594162133,5.016257886538094,2.9717309555921436,2.2027190911916477,2.1325577343297817,1.5318874978661676,1.510580932411035,1.3579097092649923,57.54628449214887
2025-02-06,23.42927474333368,17.389909234682175,5.016257886538094,3.0183964992707457,2.2027190911916477,2.129101027390626,1.5318874978661676,1.510580932411035,1.3579097092649923,57.586036621949155
