date,THE HONGKONG AND SHANGHAI BANKING,GAOYU SECURITIES LIMITED,BANK OF CHINA (HONG KONG) LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,ONE CHINA SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB WING LUNG BANK LTD,FUTU SECURITIES INTERNATIONAL,LONG BRIDGE HK LTD,INTERACTIVE BROKERS HONG KONG LTD,TOTAL_CCASS_PCT
2024-10-08,22.259535093658318,14.322906793048972,1.153870458135861,1.1721056194989845,1.0616113744075828,0.0,0.0,0.2744301512074024,0.0,0.23561272850372378,40.48007221846085
2024-10-09,22.26404874746107,14.31893477770255,1.153870458135861,1.1717445271947642,1.0616113744075828,0.0,0.0,0.2708192281651997,0.0,0.23561272850372378,40.47664184157075
2024-10-10,22.26404874746107,14.318393139246218,1.153870458135861,1.1717445271947642,1.0616113744075828,0.0,0.0,0.27172195892575035,0.0,0.23561272850372378,40.47700293387497
2024-10-14,22.26404874746107,14.31730986233356,1.153870458135861,1.1717445271947642,1.0616113744075828,0.0,0.0,0.2695554051004288,0.0,0.23561272850372378,40.473753103136985
2024-10-15,22.26404874746107,14.31821259309411,1.153870458135861,1.1717445271947642,1.0616113744075828,0.0,0.0,0.2625141051681336,0.0,0.23561272850372378,40.467614533965246
2024-10-16,22.26404874746107,14.04775445723313,1.1556759196569624,1.1717445271947642,1.0616113744075828,0.0,0.0,0.2607086436470323,0.2686526743398781,0.23669600541638458,40.466892349356804
2024-10-18,22.26404874746107,14.04775445723313,1.1556759196569624,1.1717445271947642,1.0616113744075828,0.0,0.0,0.26016700519070185,0.2686526743398781,0.23669600541638458,40.46635071090047
2024-10-21,22.26404874746107,14.04775445723313,1.1556759196569624,1.1719250733468742,1.0616113744075828,0.0,0.0,0.2596253667343715,0.2686526743398781,0.23669600541638458,40.465989618596254
2024-10-24,22.26404874746107,14.063461972466712,1.1556759196569624,1.1719250733468742,1.0616113744075828,0.0,0.0005416384563303995,0.2581809975174904,0.2686526743398781,0.23669600541638458,40.48079440306929
2024-10-25,22.26404874746107,14.064906341683592,1.155495373504852,1.1719250733468742,1.0616113744075828,0.0,0.0005416384563303995,0.2574588129090499,0.2686526743398781,0.23561272850372378,40.480252764612956
2024-10-28,22.26404874746107,14.065809072444143,1.155495373504852,1.1719250733468742,1.0616113744075828,0.0,0.0005416384563303995,0.25168133604152565,0.2686526743398781,0.23561272850372378,40.47537801850598
2024-10-30,22.26404874746107,14.06201760324983,1.1556759196569624,1.1719250733468742,1.0616113744075828,0.0,0.0005416384563303995,0.25420898217106747,0.2686526743398781,0.23759873617693522,40.47628074926653
2024-10-31,22.26404874746107,14.064906341683592,1.1610923042202663,1.1719250733468742,1.0616113744075828,0.0,0.0005416384563303995,0.25511171293161816,0.2686526743398781,0.23759873617693522,40.48548860302415
2024-11-01,22.26404874746107,14.064906341683592,1.1610923042202663,1.1719250733468742,1.0616113744075828,0.0,0.0005416384563303995,0.254931166779508,0.2686526743398781,0.23759873617693522,40.485308056872036
2024-11-04,22.26404874746107,14.064906341683592,1.1610923042202663,1.1719250733468742,1.0616113744075828,0.0,0.0009027307605506658,0.25457007447528773,0.2686526743398781,0.23759873617693522,40.485308056872036
2024-11-05,22.26404874746107,14.064906341683592,1.1610923042202663,1.1719250733468742,1.0616113744075828,0.0,0.0009027307605506658,0.2560144436921688,0.2686526743398781,0.23561272850372378,40.48476641841571
2024-11-06,22.26675693974272,14.073030918528548,1.1610923042202663,1.1719250733468742,1.0616113744075828,0.0,0.0009027307605506658,0.2525840668020763,0.2686526743398781,0.23561272850372378,40.492168810652224
2024-11-07,22.26675693974272,14.077002933874972,1.1596479350033853,1.1719250733468742,1.0616113744075828,0.0,0.0009027307605506658,0.2525840668020763,0.2686526743398781,0.23561272850372378,40.49469645678177
2024-11-08,22.26675693974272,14.077002933874972,1.1596479350033853,1.1719250733468742,1.0616113744075828,0.0,0.0014443692168810652,0.2525840668020763,0.2686526743398781,0.23561272850372378,40.49523809523809
2024-11-11,22.27578424734823,14.094877002933876,1.1596479350033853,1.1719250733468742,1.0616113744075828,0.0,0.0019860076732114646,0.2527646129541864,0.2686526743398781,0.23561272850372378,40.52286165651095
2024-11-13,22.280478447303093,14.097585195215526,1.1527871812232002,1.1719250733468742,1.0616113744075828,0.0,0.0019860076732114646,0.2525840668020763,0.2686526743398781,0.23561272850372378,40.52322274881517
2024-11-14,22.280478447303093,14.093793726021214,1.1527871812232002,1.1719250733468742,1.0616113744075828,0.0,0.0019860076732114646,0.2502369668246446,0.2686526743398781,0.23561272850372378,40.51708417964342
2024-11-19,22.280478447303093,14.093793726021214,1.1527871812232002,1.1719250733468742,1.0616113744075828,0.0,0.0019860076732114646,0.25077860528097495,0.2686526743398781,0.23561272850372378,40.51762581809975
2024-11-20,22.280478447303093,14.093793726021214,1.1527871812232002,1.1719250733468742,1.0616113744075828,0.0,0.0014443692168810652,0.2502369668246446,0.2686526743398781,0.23561272850372378,40.51654254118709
2024-11-21,22.280478447303093,14.093793726021214,1.1527871812232002,1.1719250733468742,1.0616113744075828,0.0,0.0014443692168810652,0.2500564206725344,0.2686526743398781,0.23561272850372378,40.516361995034984
2024-11-25,22.280478447303093,14.057684495599187,1.1527871812232002,1.1719250733468742,1.0616113744075828,0.0,0.0014443692168810652,0.2912209433536448,0.2686526743398781,0.23561272850372378,40.521417287294064
2024-11-26,22.280478447303093,14.057684495599187,1.1527871812232002,1.1719250733468742,1.0616113744075828,0.0,0.0014443692168810652,0.29176258180997516,0.2686526743398781,0.23561272850372378,40.5219589257504
2024-11-28,22.280478447303093,14.057684495599187,1.1527871812232002,1.1719250733468742,1.0616113744075828,0.0,0.0019860076732114646,0.29176258180997516,0.2686526743398781,0.23561272850372378,40.52250056420672
2024-12-04,22.280478447303093,14.057684495599187,1.15242608891898,1.1719250733468742,1.0616113744075828,0.0,0.0019860076732114646,0.29212367411419543,0.2686526743398781,0.23561272850372378,40.52250056420672
2024-12-05,22.280478447303093,14.057684495599187,1.15242608891898,1.1719250733468742,1.0616113744075828,0.0,0.23200180546152108,0.29212367411419543,0.2686526743398781,0.23561272850372378,40.752516361995035
