date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FB SECURITIES (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,EVERBRIGHT SECURITIES INVESTMENT,THE BANK OF EAST ASIA LTD,DBS BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,GOLDMAN SACHS (ASIA) SECURITIES LTD
2024-12-06,40.878984334436815,17.422455867144713,14.144673230149301,4.5415557471714845,4.351272069554522,3.863546041072892,3.6723652126320054,5.55625910954025,2.7060598237485802,2.862828564549444
2024-12-09,40.86714187540807,17.432529309142975,14.140386446938502,4.5500183452408445,4.349953342727123,3.8623751278935248,3.671252240046405,5.559385365591563,2.8641342874734543,2.7028236595375352
2024-12-10,40.86664171131522,17.472489127878028,14.140118821565844,4.5600989977956035,4.349871014150832,3.8623020273748914,3.671182756779271,5.560100047541691,2.6419233076230326,2.875272187975595
2024-12-11,40.8641308865252,17.421871395213394,14.139363530442385,4.566742218467617,4.349638666812973,3.862095723419868,3.6709866614151667,5.582759047065147,2.663907228655528,2.87850464198272
2024-12-12,40.87507278457839,17.388486800129357,14.142771198929086,4.567077445670348,4.350686954918837,3.863026510853191,3.6719807310459394,5.584979249027482,2.65383214598161,2.9020861788657584
2024-12-13,40.878490500954385,17.323471469953656,14.143783473029186,4.574840028095128,4.350998356953146,3.863303008410136,3.686677545095233,5.596532534232181,2.6777936201213426,2.9041094631556064
2024-12-16,40.88172128403881,17.253402228347305,14.145090498112747,4.575426826210805,4.351400432112308,3.8636600157092804,3.687018230459628,5.595846765324187,2.742501524138565,2.9039321955463593
2024-12-17,40.8443623112703,17.26867013129492,14.130633403587451,4.582931489767217,4.349684219774972,3.8597111333696326,3.683249886165093,5.613287799328692,2.7719137848292363,2.895555840612489
2024-12-18,40.8501289458378,17.272437370753018,14.128526210957155,4.588074166258722,4.349018773269984,3.8591206465310037,3.6990709009011034,5.608551371265557,2.7518351104637664,2.8932365037618957
2024-12-19,40.890333705554504,17.271531391669786,14.139510864733035,4.546631935886687,4.352509365566642,3.8623943250205857,3.701946856434761,5.6142783476404095,2.6387909665601605,2.9820722409334257
2024-12-20,40.89115683455399,17.25328215559891,14.139322999978004,4.482504711705238,4.352451535906653,3.862343007279071,3.7029908055477567,5.621281803036613,2.7431287977590912,2.9515373486346768
2024-12-23,40.90963318359535,17.15716873027235,14.14272495286482,4.509332737156573,4.353498745526753,3.8646390432837663,3.703881753456705,5.6377778594552215,2.775437071414793,2.945905922973664
2024-12-27,40.9175982116228,17.134698907169554,14.143153776145104,4.46977074950774,4.3536854200523205,3.881157691944309,3.7039940593050193,5.6514526789098785,2.8042559971530725,2.940232508190198
2024-12-30,40.88808208762899,17.164557951196173,14.13291542327389,4.454625270732281,4.350533749051193,3.878348087903521,3.6868898617015735,5.651131149745402,2.841886497772648,2.9510299209943325
2025-01-02,40.86493272671785,17.177633699715244,14.128085215196634,4.474511231562824,4.3490468666475515,3.877022584445845,3.6856297929431765,5.64784718141269,2.8580605566250985,2.9372301447330833
2025-01-03,40.90213043192042,17.23174322707738,14.138360144925924,4.429069557497007,4.352319103161506,3.8835039789935917,3.688310240190899,5.669771578341237,2.756468649653371,2.9483230882386637
2025-01-06,40.914292912379814,17.228069512391986,14.142243022116787,4.452590492177009,4.353514398825204,3.8955041301864863,3.6893231763134526,5.675756802826852,2.70689261354686,2.9418129392355516
2025-01-07,40.87966983502026,17.31990482899474,14.130615224948851,4.416104930314408,4.349934925447602,3.8923012343076753,3.6862898030703217,5.667648922699208,2.6616557094649895,2.995874585731944
2025-01-08,40.90780161463129,17.349833261403738,14.13659929402209,4.339997479502998,4.3518316932390615,3.8939495559885913,3.687850882503481,5.667917870397651,2.7173494520220176,2.9468688962890828
2025-01-09,40.91558366529277,17.381263272654223,14.137683272963702,4.229898500317499,4.352165386924141,3.894248139773177,3.688133662867647,5.681523230113449,2.7762399553319645,2.943260913761424
2025-01-10,40.92135284998172,17.34643220713285,14.14020554940271,4.242022462550511,4.352777867749168,3.9031419297143897,3.6887916555855598,5.68718297358841,2.7764332068044073,2.941659297490271
2025-01-13,40.92269535026516,17.340731558678492,14.140858329542796,4.244842103822422,4.352978812985527,3.903322117585547,3.688961948013437,5.695371611212636,2.770078412858393,2.9401597550355905
2025-01-14,40.95575095536097,17.19825576690501,14.147875467675023,4.297738751448964,4.355668958748094,3.9052439725894104,3.6907782598025434,5.717098409124125,2.7905286972836083,2.9410607610622495
2025-01-15,40.97703096426349,17.24124973290759,14.154451559072575,4.211754632338164,4.35769352259414,3.9070591738436313,3.692493774985018,5.7220538116168465,2.8146882196943066,2.9215246086842384
2025-01-16,40.994018147394804,17.237962897760085,14.156992363778139,4.217490627120641,4.358475753411166,3.9078699629159086,3.6931565986571044,5.713668279666767,2.818563154552969,2.9018022147424114
2025-01-17,40.98659751626846,17.230340450085833,14.154240750018507,4.224659171877289,4.357628621368855,3.907110412547829,3.6924387808994754,5.7128860318384405,2.8460326120117494,2.8880656530835616
2025-01-20,40.99921722004469,17.20792425427899,14.158598816710233,4.231487773728337,4.358970327821719,3.9083134052092183,3.693575676530013,5.714207171313694,2.838794009322713,2.8889113450403934
2025-01-21,41.00644488866279,17.209312588431594,14.161076735041462,4.239636574377747,4.359733197977192,3.9088879239325727,3.6942220949358973,5.700372512112931,2.831071990361541,2.889241494166272
2025-01-22,40.98947455658815,17.302076823082324,14.155594171222056,4.18787216171615,4.358045295571132,3.907374569552334,3.6927918499921333,5.701339298937091,2.817855564418238,2.8875757089203926
