date,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,MINERVA HOLDING FINANCIAL SECURITIES LTD
2024-10-10,73.2705212996203,0.0,6.676968789169903,5.602183503591545,4.881466280319099,2.945774386392859,2.9403824869668806,2.280809403185031,1.4018938507543808
2024-10-15,73.26872399981164,0.0,6.676968789169903,5.602183503591545,4.881466280319099,2.945774386392859,2.9403824869668806,2.2826067029936907,1.4018938507543808
2024-10-18,73.26692670000298,0.0,6.676968789169903,5.602183503591545,4.881466280319099,2.945774386392859,2.9403824869668806,2.28440400280235,1.4018938507543808
2024-10-22,73.26512940019433,0.0,6.676968789169903,5.602183503591545,4.881466280319099,2.945774386392859,2.9421797867755397,2.28440400280235,1.4018938507543808
2024-10-24,73.23113542307111,0.0,6.67468946972961,5.60027108402347,4.930107107654925,2.944768786241408,2.9735157664609697,2.2440970771148523,1.4014152857036597
2024-10-25,73.21535002142984,0.0,6.673250701185306,5.599063912676877,4.954192579776332,2.9441340240222655,2.9764674056161646,2.23642815289091,1.4011132024022983
2024-10-30,61.89671620449014,15.465447087183875,5.634014993465454,4.73348375596545,4.197417100252969,2.454061517369319,2.51936142160625,1.9149880288570909,1.1845098908094485
2024-10-31,61.894836331520274,15.464977384140987,5.633843882085925,4.709043093894462,4.197289619969137,2.453986984757643,2.5192849057629516,1.9422638819583666,1.1844739159102484
2024-11-01,61.89389643785509,15.464742543318438,5.633758330293736,4.70897158550967,4.197225882730966,2.4539497201495086,2.5298763822828474,1.9331231885796583,1.1844559292800847
2024-11-05,61.89671620449014,15.465447087183875,5.623384776496651,4.694000092938468,4.197417100252969,2.454061517369319,2.5345474458473967,1.9499158846117284,1.1845098908094485
2024-11-06,61.89671620449014,15.465447087183875,5.623384776496651,4.6909628880902385,4.197417100252969,2.454061517369319,2.537584650695626,1.9499158846117284,1.1845098908094485
2024-11-07,61.87322599674353,15.459577849084525,5.621250665274941,4.657304088864034,4.1958241530704665,2.431877819543736,2.6140409520938284,1.9628381137493391,1.1840603615756018
2024-11-08,61.872286759279014,15.459343172219572,5.62116533451778,4.657233390845409,4.1957604603313925,2.431840903563998,2.6155192739330637,1.962808317806692,1.1840423875030701
2024-11-12,61.86571289537122,15.457700633638227,5.629675142396326,4.656738564807745,4.1953146652961575,2.4315825230840966,2.6152413778239065,1.9641176133091651,1.1839165842731556
2024-11-13,61.86383490511197,15.457231401007391,5.6295042484619415,4.656597205252424,4.1951873126850385,2.4193663445803004,2.619715376879297,1.9746825606184835,1.1838806454031583
2024-11-14,61.84224620918668,15.451837272611133,5.627539713679761,4.654972186996362,4.193723313187075,2.418522055434225,2.623352969790323,2.004338773945872,1.1834675051685668
2024-11-18,61.80567370595366,15.442699306200645,5.6924482713547935,4.652219311805143,4.191243213112586,2.4170917806445233,2.61270334883972,2.003153440443556,1.1827676216453753
2024-11-19,61.79724003965067,15.44059207938866,5.690155348973453,4.651584495243951,4.190671298844291,2.4167619574376986,2.6275084518441227,2.002880101012766,1.1826062276043947
2024-11-20,61.606692380080894,15.392982045652346,5.973396017715835,4.610034882093446,4.177749643969273,2.409310033461296,2.6254526525233817,2.0254226041648717,1.1789597403386516
2024-11-21,61.605761217103364,15.392749386270044,5.9733057319853895,4.6099652030757685,4.177686498787352,2.409273617607467,2.6254129697516753,2.02690345463235,1.17894192078659
2024-11-22,61.631844425069346,15.399266508621562,5.9758347645397105,4.611917012106812,4.179455285725648,2.410293677802707,2.626524540993289,1.9854227131922901,1.1794410719486272
2024-11-25,61.631844425069346,15.399266508621562,5.9758347645397105,4.611917012106812,4.179455285725648,2.410293677802707,2.617451917362915,1.9944953368226646,1.1794410719486272
2024-11-26,61.62998060634139,15.398800816874328,5.975654048339291,4.611777542367116,4.179328894132035,2.4102207877157973,2.6188848207802766,1.995947079172275,1.1794054042774917
2024-11-27,61.62998060634139,15.398800816874328,5.975654048339291,4.611777542367116,4.179328894132035,2.4102207877157973,2.6173727625696643,1.9974591373828874,1.1794054042774917
2024-11-28,61.55459056584797,15.379963942260499,6.10275277795313,4.606136098182887,4.174216450943442,2.4072724395093514,2.614171011788386,1.9829340392249488,1.177962674289394
2024-12-03,61.535075098487226,15.375087828528516,6.131012536493943,4.604675753830713,4.172893043799373,2.406509230034805,2.614851936273703,1.982305363375345,1.177589209176379
2024-12-04,61.60017483030066,15.391353577658476,6.131453403825652,4.59443390377865,4.1773076677776935,2.4090551455997264,2.622152244426302,1.8952342118475338,1.1788350147853115
2024-12-06,61.628116900338114,15.398335153292361,6.084338242031468,4.596517956206675,4.179202510182648,2.410147902037316,2.623341662506112,1.9006299346417483,1.1793697387635547
