date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIC SECURITIES BROKERAGE (HK) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD
2024-11-04,48.19092749882762,10.709693307041714,4.5891277817133185,2.584765720196799,6.130830613551541,2.304822827333251,2.2480847956744703,0.6852572447462901,0.0
2024-11-05,48.35144076270301,10.652907954255612,4.587045652111161,2.587888914600035,6.147866219387371,2.257501700011499,0.0,0.0,1.931932722606864
2024-11-06,48.53324853387318,10.65177224719989,4.713338737406073,2.5859960695071647,6.149664422225598,2.2196447981540977,2.2419330491226424,0.0,0.0
2024-11-07,48.2509306882716,10.65470615709384,4.945426152778152,2.5664051227959592,6.147203723604867,2.1127936926615813,2.2417437646133553,0.0,0.0
2024-11-08,48.11426727256638,10.732691374920087,4.95446108097544,2.536308885819325,6.123164590925416,2.106074092581893,0.0,0.0,0.0
2024-11-11,47.99710016131772,10.725877132585754,5.045696214451778,2.5535337761644428,0.0,2.0663243456316214,2.2648364747463705,0.6850679602370031,0.0
2024-11-12,47.920913146329696,10.706759397147767,5.081565628961666,2.5988674161386816,0.0,0.0,0.0,0.0,0.0
2024-11-13,47.82825837903371,10.833674660624705,5.094720902357112,2.5912013935125575,0.0,0.0,2.2725971396271376,0.0,0.0
2024-11-14,47.70247882261249,10.871891203049753,5.1107154433918645,2.642686780038624,6.1270449233658,0.0,0.0,0.0,0.0
2024-11-15,47.588340263512436,10.865928741007211,5.131252812649505,2.6350207574124997,0.0,0.0,0.0,0.0,0.0
2024-11-18,47.68156288433629,11.3658291300342,5.133997438034167,2.6312350672267595,0.0,2.062538655445881,2.2724078551178506,0.0,0.0
2024-11-19,47.71828407913796,11.363936284941328,4.384697483131201,2.626881523513158,0.0,0.0,0.0,0.0,1.91858816470213
2024-11-20,47.822485201500456,11.392991457116883,4.341256688249833,2.6236636868552794,6.126950281111157,2.0530744299815304,0.0,0.0,0.0
2024-11-21,47.91239534341179,11.399237845923356,4.3389852741383885,2.619310143141678,6.140200196761247,0.0,0.0,0.0,1.921238147832148
2024-11-22,51.1297587900177,10.657242569518285,3.887352434979588,2.6695651803573783,6.050006128085989,1.9368537412793079,2.2723132128632075,0.6978446646138762,1.9092185814924234
2024-11-25,52.01059425398479,10.598185802620739,3.8331224230688603,2.3674197824079926,6.042340105459864,1.9253073862128003,2.2704203677703374,0.0,0.0
2024-11-26,52.07504562939702,10.620899943735179,3.8236581976045096,2.3348628468106267,6.0457472266270305,1.9175467213320327,0.0,0.6993589406881723,0.0
2024-11-27,52.40667208966786,10.69140842344459,3.835961690708165,2.3072273084547237,6.041582967422716,1.9080824958676825,0.0,0.6999267942160332,0.0
2024-11-28,52.42730410118014,10.72652069991733,3.84230272176928,2.2946398885871377,6.024547361586886,1.9014575380426373,0.0,0.6336772159655805,0.0
2024-11-29,52.3623795144947,10.77895250898983,3.813910045376229,2.338080683468506,6.041582967422716,1.8933183041432962,0.0,0.0,1.900700778574508
2024-12-02,52.40572566712142,10.789647083764548,3.8397473808939058,2.346882413150352,6.047640071719901,1.894264726689731,0.0,0.5954890662169267,0.0
2024-12-03,52.259976594970425,10.827977196895166,3.848075899302534,2.347260982168926,0.0,1.8949272224722356,0.0,0.0,0.0
2024-12-04,51.74824592411301,11.014327796288226,4.096948875673675,2.3433806497285423,6.047734713974544,1.8867879885728942,0.0,0.0,0.0
