date,SPDB INTERNATIONAL SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,ORIENT SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,GUOYUAN SECURITIES BROKERAGE (HONG KONG),FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,CHINA INDUSTRIAL SECURITIES,BANK OF CHINA (HONG KONG) LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,TOTAL_CCASS_PCT
2024-11-08,53.89492753623188,11.75072463768116,5.138405797101449,2.4701086956521743,0.7702898550724637,6.332086956521739,1.7492753623188406,1.7144927536231882,1.588496376811594,1.4561594202898551,86.86496739130435
2024-11-11,53.89492753623188,11.739855072463769,5.138405797101449,2.4701086956521743,0.7568840579710144,6.346217391304348,1.7500000000000002,1.7231884057971012,1.588496376811594,1.4561594202898551,86.86424275362319
2024-11-12,53.89492753623188,11.734782608695653,5.138405797101449,2.4867753623188404,0.7478260869565218,6.343318840579711,1.7503623188405797,1.7231884057971012,1.588496376811594,1.4561594202898551,86.86424275362319
2024-11-13,53.89492753623188,11.734782608695653,5.138405797101449,2.4961956521739133,0.7333333333333333,6.3425942028985505,1.7507246376811594,1.7322463768115943,1.5848731884057972,1.4561594202898551,86.86424275362319
2024-11-14,53.89492753623188,11.734420289855073,5.138405797101449,2.4961956521739133,0.7260869565217392,6.34368115942029,1.7528985507246377,1.7322463768115943,1.5848731884057972,1.4561594202898551,86.85989492753623
2024-11-15,53.89492753623188,11.72536231884058,5.138405797101449,2.4961956521739133,0.7260869565217392,6.3425942028985505,1.7532608695652172,1.742391304347826,1.5848731884057972,1.4561594202898551,86.86025724637682
2024-11-18,53.89492753623188,11.715942028985507,5.138405797101449,2.502355072463768,0.7260869565217392,6.341507246376811,1.7641304347826088,1.7438405797101448,1.5848731884057972,1.4561594202898551,86.86822826086956
2024-11-19,53.89492753623188,11.699637681159421,5.138405797101449,2.502355072463768,0.7260869565217392,6.339695652173913,1.7644927536231882,1.7438405797101448,1.589945652173913,1.4561594202898551,86.85554710144928
2024-11-21,53.89492753623188,11.696376811594202,5.138405797101449,2.502355072463768,0.7260869565217392,6.334260869565217,1.7681159420289854,1.7460144927536232,1.589945652173913,1.4561594202898551,86.85264855072464
2024-11-22,53.89492753623188,11.675724637681158,5.138405797101449,2.502355072463768,0.7260869565217392,6.347666666666667,1.7739130434782608,1.7474637681159422,1.589945652173913,1.4561594202898551,86.85264855072464
2024-11-25,53.89492753623188,11.653260869565218,5.138405797101449,2.502355072463768,0.7260869565217392,6.344405797101449,1.7739130434782608,1.7547101449275362,1.589945652173913,1.4561594202898551,86.83417028985507
2024-11-26,55.072463768115945,11.546376811594202,5.138405797101449,2.484963768115942,3.3702898550724636,2.536072463768116,1.7789855072463767,1.7713768115942028,1.595018115942029,1.4561594202898551,86.75011231884058
2024-11-27,55.072463768115945,11.546376811594202,5.138405797101449,2.5135869565217392,3.3702898550724636,2.5632463768115943,1.7789855072463767,1.7713768115942028,1.591394927536232,1.4561594202898551,86.80228623188407
2024-11-28,55.072463768115945,11.55,5.138405797101449,2.495833333333333,3.3702898550724636,2.5893333333333333,1.7786231884057973,1.7713768115942028,1.611322463768116,1.4561594202898551,86.8338079710145
2024-11-29,55.072463768115945,11.566666666666666,5.138405797101449,2.4835144927536232,3.3702898550724636,2.6016521739130436,1.7782608695652173,1.7713768115942028,1.611322463768116,1.4561594202898551,86.85011231884057
2024-12-02,55.072463768115945,11.553985507246377,5.138405797101449,2.4806159420289857,3.3630434782608694,2.602376811594203,1.7695652173913043,1.7713768115942028,1.6142210144927536,1.4561594202898551,86.82221376811594
2024-12-03,55.072463768115945,11.539492753623188,5.138405797101449,2.481340579710145,3.3630434782608694,2.616144927536232,1.7641304347826088,1.7713768115942028,1.6142210144927536,1.4561594202898551,86.81677898550724
2024-12-04,55.072463768115945,11.534057971014493,5.138405797101449,2.478442028985507,3.355797101449275,2.6730289855072464,1.7637681159420289,1.7713768115942028,1.6142210144927536,1.4561594202898551,86.85772101449275
2024-12-05,55.072463768115945,11.534057971014493,5.138405797101449,2.4835144927536232,3.3485507246376813,2.6690434782608694,1.7634057971014492,1.7713768115942028,1.6142210144927536,1.4561594202898551,86.85119927536232
2024-12-06,55.072463768115945,11.534057971014493,5.125724637681159,2.4853260869565217,3.3485507246376813,2.6367971014492753,1.7634057971014492,1.7713768115942028,1.6131340579710145,1.4561594202898551,86.8069963768116
2024-12-09,55.072463768115945,12.456521739130434,5.124275362318841,2.48713768115942,3.339492753623188,2.64368115942029,1.7634057971014492,1.7713768115942028,1.6131340579710145,1.4561594202898551,87.72764855072464
2024-12-10,55.072463768115945,12.456521739130434,5.119927536231884,2.4846014492753623,3.3253623188405794,2.6465797101449273,1.7641304347826088,1.7699275362318843,1.6131340579710145,1.4561594202898551,87.7088079710145
2024-12-11,55.072463768115945,12.456521739130434,5.118840579710144,2.4842391304347826,3.3253623188405794,2.652014492753623,1.7641304347826088,1.7688405797101447,1.6131340579710145,1.4561594202898551,87.71170652173913
