date,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CITIBANK N.A.,DL SECURITIES (HK) LTD,BOCOM INTERNATIONAL SECURITIES LTD,KINGSTON SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2025-03-25,426947054.0,323271066.0,135090000.0,80714400.0,49051195.0,11852000.0,0.0,0.0,14098556.0
2025-03-26,429769667.0,317787066.0,138444000.0,80902400.0,52106717.0,11152000.0,37996800.0,252487998.0,13840556.0
2025-03-27,430184050.0,316162068.0,139268000.0,80810400.0,51719330.0,11712000.0,37696800.0,0.0,14172556.0
2025-03-28,430795527.0,315806069.0,140190000.0,80730400.0,51201722.0,0.0,0.0,252491998.0,14208552.0
2025-03-31,433302141.0,314591048.0,139172000.0,80744400.0,49952754.0,0.0,0.0,0.0,14314410.0
2025-04-01,436258428.0,314751064.0,134420000.0,80726400.0,49309674.0,11688000.0,0.0,0.0,14318410.0
2025-04-02,437578295.0,314541197.0,135070000.0,0.0,49679119.0,11048000.0,0.0,0.0,14344410.0
2025-04-03,438590981.0,314741197.0,134498000.0,80724400.0,48970494.0,0.0,0.0,0.0,14368410.0
2025-04-07,438962943.0,315189197.0,136794000.0,80736400.0,45261342.0,0.0,0.0,0.0,13848410.0
2025-04-08,434594870.0,311676811.0,141942000.0,80748400.0,43946394.0,0.0,38818800.0,0.0,18691410.0
2025-04-09,438473444.0,311128811.0,131544000.0,80330400.0,50343595.0,0.0,0.0,0.0,18855410.0
2025-04-10,440693495.0,311942624.0,122776000.0,0.0,53180218.0,18048000.0,0.0,0.0,14434410.0
2025-04-11,438443047.0,311726630.0,125320000.0,80316400.0,54185582.0,0.0,0.0,0.0,16524394.0
2025-04-14,440637530.0,311028030.0,125334000.0,0.0,56054330.0,0.0,0.0,0.0,16422394.0
2025-04-15,443412806.0,313145754.0,123858000.0,0.0,51947888.0,0.0,0.0,0.0,16626394.0
2025-04-16,444488681.0,313169754.0,125170000.0,80318400.0,49440421.0,0.0,0.0,0.0,0.0
2025-04-17,444261092.0,313489754.0,127166000.0,0.0,48437142.0,0.0,0.0,0.0,16630394.0
2025-04-22,444182183.0,312726105.0,127888000.0,80320400.0,50451063.0,0.0,0.0,0.0,18188394.0
2025-04-23,444761798.0,314412490.0,126760000.0,80310400.0,49219825.0,0.0,0.0,0.0,18190394.0
2025-04-24,446283003.0,314419752.0,125614000.0,0.0,49239668.0,0.0,0.0,0.0,18194394.0
2025-04-25,451474018.0,314375752.0,122074000.0,80314400.0,47880595.0,0.0,0.0,0.0,18826394.0
2025-04-28,451431322.0,0.0,121586000.0,0.0,47797855.0,19300000.0,0.0,0.0,19164394.0
2025-04-29,452300219.0,313868752.0,119436000.0,0.0,47153295.0,0.0,0.0,0.0,20084394.0
2025-04-30,457387927.0,311135044.0,118494000.0,0.0,47161395.0,0.0,0.0,0.0,20086394.0
2025-05-02,458083080.0,311039044.0,118286000.0,80304400.0,47209395.0,18690000.0,0.0,0.0,0.0
