date,YUE XIU SECURITIES CO LTD,QUAM SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,ZHONGTAI INTERNATIONAL SECURITIES LTD,BOCI SECURITIES LTD,CITIBANK N.A.,CMB INTERNATIONAL SECURITIES LTD,CMB WING LUNG BANK LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-11-11,3.322127182716995,3.8306594606862707,8.16701419918578,0.0,0.0,0.7745010425975574,0.0,4.2792601103593055,0.0
2024-11-12,3.3292196831070826,3.8271132104912264,8.17410669957587,0.2808630154474659,0.0,0.7596067917783735,0.0,0.0,0.0
2024-11-13,3.3086514319758287,0.0,8.181199199965956,0.0,0.0,0.7539327914663035,0.0,0.0,0.0
2024-11-14,0.0,0.0,8.16701419918578,0.0,0.0,0.7510957913102685,0.0,0.0,0.0
2024-11-15,3.295884931273671,0.0,8.170560449380824,0.0,0.0,0.7525142913882861,0.0,4.280678610437324,0.0
2024-11-18,3.293757181156645,0.0,8.15637544860065,0.0,0.0,0.7560605415833298,0.0,0.0,0.0
2024-11-19,0.0,0.0,8.159921698795694,0.0,0.0,0.7688270422854873,0.0,4.282097110515341,0.0
2024-11-20,3.304395931741776,0.0,8.16701419918578,0.23830801310694072,0.0,0.0,0.0,0.0,0.0
2024-11-21,3.3320566832631173,0.0,8.165595699107763,0.0,0.0,0.0,0.0,4.28280636055435,0.0
2024-11-22,0.0,0.0,8.16204944891272,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-25,3.363972935018512,0.0,0.0,0.0,0.0,0.7901045434557499,0.0,0.0,0.0
2024-11-26,3.3448231839652753,0.0,8.155666198561642,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-27,3.34198618380924,0.0,0.0,0.0,0.0,0.7823027930266535,0.0,0.0,0.0
2024-11-28,3.3384399336141963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-29,0.0,0.0,8.081194944465722,0.0,0.0,0.7638622920124261,0.0,0.0,0.0
2024-12-02,3.3604266848234676,0.0,8.078357944309687,0.0,0.0,0.7574790416613473,0.0,0.0,0.0
2024-12-03,3.2859554307275487,0.0,0.0,0.0,0.0,0.755351291544321,0.0,0.0,0.0
2024-12-04,3.28524618068854,0.0,8.00317744017476,0.0,0.0,0.7645715420514348,0.0,0.0,0.0
2024-12-05,0.0,0.0,0.0,0.0,1.4014780770812942,0.7432940408811722,0.0,0.0,0.0
2024-12-06,3.320708682638977,0.0,0.0,0.0,0.0,0.7546420415053123,0.0,0.0,0.0
2024-12-09,3.3015589315857414,0.0,8.004595940252775,0.25249301388711576,0.0,0.0,0.0,0.0,0.0
2024-12-10,3.319999432599969,0.0,8.00317744017476,0.0,0.0,0.7617345418953998,0.0,0.0,0.0
2024-12-11,3.31361618224889,0.0,8.007432940408812,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-12,3.3320566832631173,0.0,8.012397690681873,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-13,3.3348936834191525,0.0,8.023745691306013,0.234761762911897,0.0,0.761025291856391,0.0,4.232449607784729,0.0
2024-12-16,3.3817041859937302,0.0,0.0,0.0,0.0,0.0,0.0,4.233158857823737,0.0
2024-12-17,3.33631218349717,0.0,8.027291941501057,0.23618026298991446,0.0,0.0,0.0,4.2338681078627465,0.0
2024-12-18,3.3561711845894155,0.0,0.0,0.0,0.0,0.0,0.0,4.246634608564904,0.0
2024-12-19,3.3597174347844585,0.0,8.028001191540065,0.0,0.0,0.0,0.0,4.247343858603912,0.0
2024-12-20,3.357589684667433,0.0,8.05920819325645,0.0,1.4007688270422856,0.0,0.0,0.0,0.0
2024-12-23,3.3356029334581616,0.0,0.0,0.0,0.0,0.7737917925585486,0.0,0.0,0.0
2024-12-27,3.356880434628424,0.0,8.064172943529512,0.2269600124828007,0.0,0.0,0.0,0.0,0.0
2024-12-30,3.333475183341135,0.0,8.063463693490505,0.0,1.4291388286026356,0.7773380427535923,0.0,0.0,0.0
2025-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.251599358837964,0.0
2025-01-03,3.3554619345504064,0.0,8.117366696455168,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-06,3.319999432599969,0.0,0.0,0.0,0.0,0.0,0.0,4.253727108954991,0.0
2025-01-07,0.0,0.0,8.056371193100416,0.0,0.0,0.7730825425195398,0.0,0.0,0.0
2025-01-08,0.0,0.0,8.054952693022397,0.0,0.0,0.7645715420514348,0.0,4.256564109111026,0.0
2025-01-09,3.3391491836532055,0.0,8.053534192944381,0.0,0.0,0.7617345418953998,0.0,4.257982609189043,0.0
2025-01-10,3.319999432599969,0.0,8.052115692866362,0.0,0.0,0.7596067917783735,0.0,4.26578435961814,0.0
2025-01-13,3.3490786841993274,3.8264039604522173,8.107437195909045,0.0,0.0,0.7567697916223385,0.0,0.0,0.0
2025-01-14,3.2987219314297067,0.0,8.057789693178433,0.0,0.0,0.7510957913102685,0.0,0.0,0.0
2025-01-15,3.3306381831851,0.0,8.057080443139425,0.24327276338000198,0.0,0.744003290920181,0.0,4.2771323602422795,0.0
2025-01-16,3.3235456827950127,0.0,8.064172943529512,0.0,0.0,0.7397477906861285,0.0,4.277841610281288,0.0
2025-01-17,3.2987219314297067,0.0,8.119494446572196,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-20,3.3178716824829424,0.0,8.06630069364654,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-21,3.2987219314297067,0.0,0.0,0.2581670141991858,0.0,0.0,0.0,0.0,0.0
2025-01-22,3.299431181468715,0.0,8.057080443139425,0.0,1.4185000780175043,0.0,0.0,0.0,0.0
2025-01-23,3.3278011830290652,0.0,8.092542945089862,0.0,0.0,0.0,0.0,4.2792601103593055,0.0
