date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,CHINA INDUSTRIAL SECURITIES,CMB INTERNATIONAL SECURITIES LTD,ORIENT SECURITIES (HONG KONG) LTD,TOYO SECURITIES ASIA LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD
2025-01-17,248.68601099999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.425,0.0
2025-01-20,248.665011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-21,248.68601099999998,0.0,64.4865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22,248.68751100000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-27,248.684511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.6725,0.0
2025-02-05,0.0,0.0,64.248,0.0,0.0,0.0,0.0,0.0,94.8075,0.0
2025-02-06,0.0,107.3775,0.0,0.0,0.0,0.0,0.0,0.0,95.41199999999999,0.0
2025-02-07,248.65451099999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-11,248.64851099999998,107.3265,0.0,0.0,0.0,0.0,0.0,0.0,95.607,0.0
2025-02-12,0.0,0.0,0.0,56.381597000000006,0.0,0.0,0.0,0.0,95.637,0.0
2025-02-14,248.504511,0.0,0.0,0.0,58.675351,0.0,0.0,0.0,0.0,0.0
2025-02-17,248.49251099999998,0.0,64.32600000000001,0.0,57.997350999999995,0.0,0.0,0.0,95.865,0.0
2025-02-18,248.491011,107.3475,0.0,56.377097,58.288351000000006,0.0,0.0,0.0,95.868,0.0
2025-02-19,248.446011,107.3175,64.2255,0.0,58.549351,0.0,0.0,0.0,0.0,0.0
2025-02-20,0.0,107.205,0.0,0.0,58.849351000000006,0.0,0.0,0.0,0.0,0.0
2025-02-21,248.10401099999999,107.40899999999999,64.1685,0.0,59.320351,0.0,0.0,0.0,0.0,0.0
2025-02-24,0.0,0.0,0.0,56.38009699999999,59.41035099999999,0.0,0.0,0.0,0.0,0.0
2025-02-25,248.018511,107.38799999999999,63.987,0.0,59.701351,0.0,0.0,0.0,0.0,0.0
2025-02-26,247.80401099999997,107.34300000000002,63.94499999999999,56.980096999999994,59.902350999999996,0.0,0.0,0.0,0.0,0.0
2025-02-27,247.78301100000002,0.0,63.864,56.651596999999995,59.896351,0.0,0.0,0.0,0.0,0.0
2025-02-28,247.738011,107.328,0.0,0.0,60.034350999999994,0.0,0.0,0.0,0.0,0.0
2025-03-03,247.138011,107.2665,0.0,56.707097,60.130351000000005,0.0,0.0,0.0,0.0,0.0
2025-03-04,247.108011,0.0,0.0,56.710097000000005,60.140851,0.0,0.0,0.0,0.0,0.0
