date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,DEUTSCHE BANK AG,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
2024-11-12,500760769.0,34678151.0,25645979.0,3367018.0,6480206.0,3423407.0,1744657.0,484533.0,0.0,0.0
2024-11-13,500572340.0,34795235.0,25278629.0,3359850.0,6368335.0,3449675.0,1774507.0,460464.0,1204385.0,0.0
2024-11-14,500986770.0,34692789.0,25147690.0,3591383.0,6320466.0,3336385.0,1548607.0,428568.0,1210645.0,0.0
2024-11-15,499986984.0,35149382.0,24877970.0,3586993.0,6480233.0,3340141.0,1576017.0,378637.0,1204795.0,0.0
2024-11-18,501773731.0,35559430.0,24666620.0,3626519.0,6237838.0,3400290.0,1820063.0,368713.0,1154284.0,0.0
2024-11-19,502017765.0,35692247.0,24400241.0,3661734.0,6250660.0,3433606.0,1656263.0,368089.0,1094284.0,2733753.0
2024-11-20,502000310.0,35436273.0,24259931.0,3779033.0,6242373.0,3533572.0,1787058.0,357885.0,1145484.0,2739203.0
2024-11-21,501589396.0,36375593.0,24261233.0,3774890.0,6394731.0,3490772.0,1673474.0,373511.0,1071734.0,2745253.0
2024-11-22,501497728.0,36030067.0,24196383.0,3785005.0,6512393.0,3511317.0,1769396.0,365787.0,1079914.0,0.0
2024-11-25,501791547.0,36166675.0,24177130.0,3782655.0,6414751.0,3534247.0,1600096.0,402462.0,809894.0,2750953.0
2024-11-26,501809207.0,36220439.0,24174980.0,3764723.0,6250054.0,3409683.0,1654696.0,400489.0,802374.0,0.0
2024-11-27,505873687.0,32578392.0,24434380.0,3761767.0,5896170.0,3350287.0,1643902.0,374862.0,818024.0,0.0
