date,ORIENT SECURITIES (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,I WIN SECURITIES LTD,LIVERMORE HOLDINGS LTD,THE HONGKONG AND SHANGHAI BANKING,SINOPAC SECURITIES (ASIA) LTD,HEAD & SHOULDERS SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-08-26,4.410596420651423,2.2399180471043563,1.1946034817542341,1.533790237028547,0.882294574443088,0.35028847508518623,0.28922901612538315,0.29916213385090135,0.02337204170710167,0.11247795071542678,11.335732378465648
2024-08-27,4.410596420651423,2.2399180471043563,1.1946034817542341,1.533790237028547,0.882294574443088,0.35028847508518623,0.28922901612538315,0.29682492968019114,0.02337204170710167,0.1092642949807003,11.330181518560211
2024-08-28,4.410596420651423,2.2399180471043563,1.2051209005224297,1.533790237028547,0.882294574443088,0.35028847508518623,0.28922901612538315,0.29799353176554627,0.02337204170710167,0.1092642949807003,11.341867539413762
2024-08-29,4.410596420651423,2.2399180471043563,1.2051209005224297,1.533790237028547,0.882294574443088,0.35028847508518623,0.28922901612538315,0.294487725509481,0.02337204170710167,0.1092642949807003,11.338361733157697
2024-08-30,4.410596420651423,2.23904159554034,1.1946034817542341,1.5425547526687102,0.8855082301778144,0.3497041740425087,0.28922901612538315,0.27929589839986496,0.02337204170710167,0.10517418768195749,11.319079798749337
2024-09-02,4.410596420651423,2.23904159554034,1.1946034817542341,1.5469370104887918,0.8811259723577328,0.3497041740425087,0.28922901612538315,0.2711156838023793,0.016360429194971167,0.10517418768195749,11.303887971639721
2024-09-03,4.410596420651423,2.23904159554034,1.2276164906655151,1.5419704516260326,0.8828788754857655,0.3497041740425087,0.28922901612538315,0.27023923223836305,0.016360429194971167,0.10663494028865138,11.334271625858953
2024-09-04,4.410596420651423,2.23904159554034,1.2276164906655151,1.541386150583355,0.87469866088828,0.3497041740425087,0.28922901612538315,0.26293546920489375,0.016360429194971167,0.09962332777652086,11.31119173467319
2024-09-05,4.410596420651423,2.23904159554034,1.2276164906655151,1.541386150583355,0.8752829619309574,0.3497041740425087,0.28922901612538315,0.27199213536639566,0.016068278673632398,0.0972861236058107,11.318203347185321
2024-09-09,4.410596420651423,2.23904159554034,1.2276164906655151,1.5510271177875343,0.87703586505899,0.3497041740425087,0.28922901612538315,0.2673177270249753,0.016068278673632398,0.09874687621250454,11.326383561782807
2024-09-10,4.410596420651423,2.23904159554034,1.2276164906655151,1.5332059359858696,0.87703586505899,0.3497041740425087,0.28922901612538315,0.27053138275970184,0.016068278673632398,0.0972861236058107,11.310315283109174
2024-09-11,4.410596420651423,2.23904159554034,1.277574229814445,1.5340823875498857,0.87703586505899,0.3497041740425087,0.28922901612538315,0.2427770832325186,0.017529031280326252,0.10108408038321472,11.338653883679035
2024-09-12,4.410596420651423,2.23904159554034,1.277574229814445,1.5340823875498857,0.87703586505899,0.3497041740425087,0.28922901612538315,0.2366419222844044,0.017529031280326252,0.09816257516982702,11.329597217517534
